Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
149,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-090,1996,5.2,1.35,0.96,0,1.35,0,0.58,1.54,37.5,0.96,0.38,0,0.38,0.19,1.54,0.58,0,Matches
150,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-298,1998,16.4,1.95,1.1,0.91,0.85,0.18,0.73,1.1,66.7,0.37,1.04,0.18,0.85,0.61,2.56,0.91,0.06,Matches
151,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-016,1998,6.7,1.04,0.45,0.3,0.75,0,0.45,1.34,33.3,0.9,0.9,0.15,0.75,0.6,1.64,0.75,0,Matches
152,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-117,1996,1.1,5.45,5.45,2.73,1.82,0.91,0,4.55,0,4.55,4.55,0.91,3.64,0,5.45,1.82,0,Matches
153,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-064,1997,6.9,1.74,0.72,0.58,0.87,0.29,0.87,1.88,46.2,1.01,1.16,0.14,1.01,0.43,2.17,0.29,0,Matches
154,Matheus Cunha,br BRA,"MF,FW",Wolves,25-329,1999,25,1.36,0.8,0.64,0.56,0.16,0.44,1.4,31.4,0.96,0.76,0.04,0.72,0.64,2,0.92,0,Matches
155,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-292,2000,27.7,2.64,1.44,0.97,0.83,0.83,0.97,2.49,39.1,1.52,1.19,0.07,1.12,0.9,3.54,1.08,0.07,Matches
156,Danilo,br BRA,"MF,FW",Nott'ham Forest,23-357,2001,2.3,0.87,0.43,0.43,0.43,0,0.43,1.3,33.3,0.87,0.43,0.43,0,0.43,1.3,0.87,0,Matches
157,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-227,1998,2.9,2.76,1.72,0.34,0.34,2.07,1.38,2.07,66.7,0.69,0.69,0,0.69,0.34,3.1,2.76,0.34,Matches
158,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-297,1998,17.4,4.08,2.18,1.9,1.61,0.57,1.55,3.39,45.8,1.84,1.95,0.63,1.32,1.49,5.57,2.3,0.06,Matches
159,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-095,1998,1.3,0.77,0,0,0.77,0,0,1.54,0,1.54,0.77,0,0.77,0,0.77,0.77,0,Matches
160,Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-017,2003,2,1.5,1,1,0.5,0,0,1.5,0,1.5,1.5,0.5,1,0.5,2,1,0,Matches
161,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-088,2004,6.1,1.64,1.15,0.33,0.82,0.49,0.49,0.66,75,0.16,0.33,0,0.33,0.16,1.8,0.49,0,Matches
162,Julio Enciso,py PAR,"MF,FW",Brighton,21-088,2004,3.3,0,0,0,0,0,0,0.61,0,0.61,0.61,0,0.61,0,0,0.3,0,Matches
163,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-296,1998,25.3,1.46,0.87,0.51,0.59,0.36,0.67,1.38,48.6,0.71,0.99,0,0.99,0.43,1.9,0.36,0.12,Matches
164,Phil Foden,eng ENG,"MF,FW",Manchester City,24-328,2000,18.7,0.64,0.27,0.27,0.21,0.16,0.37,0.91,41.2,0.53,0.64,0.05,0.59,0.48,1.12,0.37,0.05,Matches
165,Carlos Forbs,pt POR,"MF,FW",Wolves,21-033,2004,2.6,3.08,1.92,1.92,0.77,0.38,1.54,1.92,80,0.38,1.15,0,1.15,0.38,3.46,0.77,0.38,Matches
166,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-294,2004,21.8,1.28,0.83,0.46,0.28,0.55,0.5,1.51,33.3,1.01,0.78,0,0.78,0.5,1.79,0.46,0.09,Matches
167,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-143,1996,8.6,1.63,0.47,0.23,0.58,0.81,0.35,1.74,20,1.4,1.05,0,1.05,0.58,2.21,0.35,0,Matches
168,Luis Guilherme,br BRA,"MF,FW",West Ham,19-071,2006,1.5,0.67,0,0.67,0,0,0,2,0,2,4.67,0,4.67,2,2.67,1.33,0,Matches
169,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-085,1996,7.2,0.83,0.56,0.28,0.14,0.42,0.28,0.83,33.3,0.56,1.25,0,1.25,0.28,1.11,1.53,0,Matches
170,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-173,2003,24.7,1.21,0.45,0.57,0.36,0.28,0.53,1.82,28.9,1.3,0.97,0.04,0.93,0.4,1.62,0.53,0.04,Matches
171,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-250,1996,26.6,2.14,1.32,0.86,0.86,0.41,0.94,1.65,56.8,0.71,1.39,0.26,1.13,0.86,3.01,1.77,0.08,Matches
172,Joshua King,eng ENG,"MF,FW",Fulham,18-108,2007,0.9,5.56,3.33,2.22,3.33,0,0,2.22,0,2.22,2.22,0,2.22,1.11,6.67,1.11,0,Matches
173,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-351,1999,22.5,0.93,0.4,0.18,0.44,0.31,0.18,0.84,21.1,0.67,0.89,0,0.89,0.58,1.51,1.02,0.04,Matches
174,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-361,2000,24.1,1.66,0.95,0.58,0.46,0.62,0.71,1.95,36.2,1.24,1.04,0.12,0.91,0.5,2.16,0.37,0.04,Matches
175,Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,23-348,2001,1.3,1.54,0.77,0,1.54,0,0.77,2.31,33.3,1.54,1.54,1.54,0,0.77,2.31,1.54,0,Matches
176,James Mcatee,eng ENG,"MF,FW",Manchester City,22-185,2002,2.5,1.6,0.8,0,1.6,0,0.4,2,20,1.6,1.6,0,1.6,0.4,2,0.4,0,Matches
177,John McGinn,sct SCO,"MF,FW",Aston Villa,30-185,1994,21.8,1.38,0.96,0.46,0.6,0.32,0.5,1.19,42.3,0.69,0.92,0.09,0.83,0.6,1.97,0.55,0.14,Matches
178,Dwight McNeil,eng ENG,"MF,FW",Everton,25-150,1999,12.9,0.85,0.47,0.39,0.31,0.16,0.62,1.47,42.1,0.85,0.54,0,0.54,0.39,1.24,0.08,0.08,Matches
179,Mikel Merino,es ESP,"MF,FW",Arsenal,28-303,1996,15.6,2.44,1.41,0.38,1.35,0.71,0.96,1.86,51.7,0.9,1.09,0.32,0.77,0.83,3.27,1.54,0.06,Matches
180,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-101,1999,3.9,2.05,0.51,1.03,1.03,0,1.54,2.05,75,0.51,1.79,0.26,1.54,0.51,2.56,0,0,Matches
181,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28-303,1996,7.8,2.31,1.15,0.51,1.15,0.64,1.28,1.92,66.7,0.64,1.03,0.13,0.9,0.64,2.95,1.79,0,Matches
182,Gustavo Nunes,br BRA,"MF,FW",Brentford,19-152,2005,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
183,Lucas Paquetá,br BRA,"MF,FW",West Ham,27-237,1997,24.1,2.53,1.45,0.91,1.2,0.41,1,1.95,51.1,0.95,1.12,0.17,0.95,0.66,3.2,1.41,0.21,Matches
184,Daniel Podence,pt POR,"MF,FW",Wolves,29-182,1995,0.5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,Matches
185,Georginio Rutter,fr FRA,"MF,FW",Brighton,23-001,2002,18.4,2.12,0.82,0.71,0.98,0.43,0.76,1.96,38.9,1.2,1.09,0.16,0.92,0.54,2.66,0.71,0.11,Matches
186,Pablo Sarabia,es ESP,"MF,FW",Wolves,32-345,1992,7.5,1.87,0.93,0.53,1.07,0.27,1.2,1.73,69.2,0.53,0.93,0,0.93,0.53,2.4,0.93,0.13,Matches
187,Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,27-055,1998,26.3,0.8,0.38,0.34,0.34,0.11,0.27,0.87,30.4,0.61,0.84,0.27,0.57,0.3,1.1,1.29,0,Matches
188,Bernardo Silva,pt POR,"MF,FW",Manchester City,30-254,1994,24.7,1.94,1.26,0.61,1.01,0.32,0.93,1.98,46.9,1.05,1.13,0.28,0.85,0.77,2.71,0.85,0.12,Matches
189,Carlos Soler,es ESP,"MF,FW",West Ham,28-109,1997,15,0.87,0.67,0.47,0.33,0.07,0.4,1.47,27.3,1.07,1.27,0.4,0.87,0.53,1.4,1.4,0.13,Matches
190,Willian,br BRA,"MF,FW",Fulham,36-255,1988,1.8,1.11,0.56,0,0.56,0.56,0.56,2.22,25,1.67,0,0,0,0.56,1.67,0.56,0,Matches
191,Joe Willock,eng ENG,"MF,FW",Newcastle Utd,25-244,1999,9.9,2.42,1.41,1.41,0.71,0.3,1.82,2.73,66.7,0.91,2.12,0.4,1.72,0.51,2.93,0.71,0,Matches
192,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-277,2006,0.3,3.33,0,0,3.33,0,3.33,3.33,100,0,0,0,0,0,3.33,0,0,Matches
193,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-149,1994,10.3,1.26,1.07,0.1,0.87,0.29,0.39,0.97,40,0.58,0.68,0.19,0.49,0.97,2.23,1.26,0.19,Matches
194,Ryan Fraser,sct SCO,"FW,DF",Southampton,31-056,1994,3.4,1.76,0.59,0.59,1.18,0,1.18,1.76,66.7,0.59,0.29,0.29,0,0.29,2.06,2.65,0,Matches
195,Mason Holgate,eng ENG,"FW,DF",Everton,28-181,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
196,Jaden Philogene Bidace,eng ENG,"FW,DF",Ipswich Town,23-072,2002,5.3,2.64,1.32,1.13,1.13,0.38,1.51,2.83,53.3,1.32,2.08,0.19,1.89,1.89,4.53,1.7,0.19,Matches
197,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24-338,2000,3.6,3.33,1.94,0.83,1.94,0.56,1.11,2.5,44.4,1.39,1.94,0,1.94,0.56,3.89,1.94,0,Matches
198,Tyler Adams,us USA,MF,Bournemouth,26-066,1999,17,4.35,2.65,1.35,2.59,0.41,2,3.65,54.8,1.65,1.59,0.41,1.18,1.71,6.06,2.06,0,Matches
199,Asher Agbinone,eng ENG,MF,Crystal Palace,19-205,2005,0.1,20,10,0,20,0,0,0,,0,0,0,0,0,20,0,0,Matches
200,Carlos Alcaraz,ar ARG,MF,Southampton,22-142,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,10,10,0,0,Matches
