Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
149,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-090,1996,5.2,4.81,4.83,2.69,1.35,0,0.19,0.38,0.19,0.58,0.58,0.38,0,0,0.19,0,0,Matches
150,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-298,1998,16.4,3.23,3.23,2.01,0.18,0.24,0.24,0.43,0.12,0.61,0.61,0.49,0,0,0,0.06,0.06,Matches
151,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-016,1998,6.7,2.84,2.83,2.09,0,0.75,0,0,0,0.3,0.3,0.15,0,0.15,0,0,0,Matches
152,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-117,1996,1.1,2.73,2.76,1.82,0,0,0.91,0,0,0,0,0,0,0,0,0,0,Matches
153,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-064,1997,6.9,2.75,2.74,2.46,0.29,0,0,0,0,0.14,0.14,0.14,0,0,0,0,0,Matches
154,Matheus Cunha,br BRA,"MF,FW",Wolves,25-329,1999,25,4.28,4.27,2.32,0.44,0.64,0.28,0.48,0.12,0.52,0.52,0.28,0,0.16,0,0.04,0.04,Matches
155,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-292,2000,27.7,3.94,3.93,3.03,0.4,0.22,0.07,0.04,0.18,0.76,0.76,0.54,0.11,0.04,0,0.04,0.04,Matches
156,Danilo,br BRA,"MF,FW",Nott'ham Forest,23-357,2001,2.3,2.61,2.58,2.61,0,0,0,0,0,0.87,0.86,0.87,0,0,0,0,0,Matches
157,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-227,1998,2.9,1.72,1.74,1.72,0,0,0,0,0,0.34,0.35,0.34,0,0,0,0,0,Matches
158,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-297,1998,17.4,1.67,1.67,1.21,0.06,0,0.11,0.17,0.11,0,0,0,0,0,0,0,0,Matches
159,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-095,1998,1.3,0.77,0.78,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
160,Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-017,2003,2,5.5,5.38,4.5,1,0,0,0,0,1,0.98,1,0,0,0,0,0,Matches
161,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-088,2004,6.1,3.44,3.44,1.97,0.49,0.49,0.33,0,0.16,0.49,0.49,0.33,0.16,0,0,0,0,Matches
162,Julio Enciso,py PAR,"MF,FW",Brighton,21-088,2004,3.3,3.64,3.69,1.52,0.3,0.91,0.3,0.61,0,0,0,0,0,0,0,0,0,Matches
163,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-296,1998,25.3,4.58,4.59,2.37,0.95,0.43,0.43,0.36,0.04,0.36,0.36,0.32,0.04,0,0,0,0,Matches
164,Phil Foden,eng ENG,"MF,FW",Manchester City,24-328,2000,18.7,4.49,4.48,2.99,0.96,0.11,0.27,0.16,0,0.48,0.48,0.27,0.05,0,0.16,0,0,Matches
165,Carlos Forbs,pt POR,"MF,FW",Wolves,21-033,2004,2.6,1.92,1.91,1.15,0,0.77,0,0,0,0.38,0.38,0.38,0,0,0,0,0,Matches
166,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-294,2004,21.8,3.17,3.16,2.39,0.05,0.14,0.32,0.28,0,0.18,0.18,0.09,0,0,0.05,0.05,0,Matches
167,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-143,1996,8.6,2.67,2.69,2.44,0,0.12,0,0.12,0,0.93,0.94,0.81,0,0.12,0,0,0,Matches
168,Luis Guilherme,br BRA,"MF,FW",West Ham,19-071,2006,1.5,6.67,6.52,4,0.67,0.67,0.67,0.67,0,0,0,0,0,0,0,0,0,Matches
169,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-085,1996,7.2,1.25,1.25,1.11,0,0,0.14,0,0,0.14,0.14,0.14,0,0,0,0,0,Matches
170,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-173,2003,24.7,2.59,2.59,1.86,0,0.32,0.16,0.16,0.08,0.24,0.24,0.24,0,0,0,0,0,Matches
171,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-250,1996,26.6,2.29,2.29,1.73,0.08,0.04,0.19,0.04,0.23,0.34,0.34,0.26,0,0,0.04,0,0.04,Matches
172,Joshua King,eng ENG,"MF,FW",Fulham,18-108,2007,0.9,4.44,4.5,3.33,0,1.11,0,0,0,0,0,0,0,0,0,0,0,Matches
173,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-351,1999,22.5,4.09,4.08,3.02,0.36,0.27,0.22,0.18,0.04,0.49,0.49,0.44,0,0,0,0.04,0,Matches
174,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-361,2000,24.1,5.06,5.06,3.73,0.5,0.62,0.08,0.12,0,0.37,0.37,0.29,0.04,0.04,0,0,0,Matches
175,Edmond-Paris Maghoma,eng ENG,"MF,FW",Brentford,23-348,2001,1.3,3.08,3.03,3.08,0,0,0,0,0,0.77,0.76,0.77,0,0,0,0,0,Matches
176,James Mcatee,eng ENG,"MF,FW",Manchester City,22-185,2002,2.5,1.2,1.21,0.8,0,0.4,0,0,0,0.4,0.4,0,0,0.4,0,0,0,Matches
177,John McGinn,sct SCO,"MF,FW",Aston Villa,30-185,1994,21.8,3.03,3.03,2.34,0.23,0,0.18,0.23,0.05,0.28,0.28,0.28,0,0,0,0,0,Matches
178,Dwight McNeil,eng ENG,"MF,FW",Everton,25-150,1999,12.9,4.73,4.75,2.64,1.4,0.31,0.16,0.16,0.08,0.54,0.54,0.31,0.08,0.08,0,0,0.08,Matches
179,Mikel Merino,es ESP,"MF,FW",Arsenal,28-303,1996,15.6,2.5,2.51,2.12,0,0,0.32,0.06,0,0.26,0.26,0.19,0,0,0.06,0,0,Matches
180,Mason Mount,eng ENG,"MF,FW",Manchester Utd,26-101,1999,3.9,2.82,2.84,1.79,0.51,0,0.26,0.26,0,0,0,0,0,0,0,0,0,Matches
181,Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28-303,1996,7.8,1.67,1.68,1.15,0,0,0.13,0.26,0.13,0.13,0.13,0.13,0,0,0,0,0,Matches
182,Gustavo Nunes,br BRA,"MF,FW",Brentford,19-152,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
183,Lucas Paquetá,br BRA,"MF,FW",West Ham,27-237,1997,24.1,3.11,3.12,2.57,0.08,0.04,0.17,0.21,0.04,0.25,0.25,0.12,0,0,0.08,0.04,0,Matches
