Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,45717,PPA,CrsPA,PrgP,Matches
149,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-090,1996,5.2,32.1,40,80.3,450.2,133.3,18.8,21,89.9,10.8,12.9,83.6,0.96,3.08,31.3,0.19,0.15,0.15,0.04,2.31,2.69,1.54,0.38,5.77,Matches
150,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-298,1998,16.4,24.5,30.8,79.4,377.7,73.8,14.3,15.9,89.7,7.68,9.51,80.8,1.83,3.11,58.8,0.37,0.22,0.15,0.15,1.59,1.65,0.91,0.43,2.13,Matches
151,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-016,1998,6.7,22.2,29.3,76,318.2,61.9,13.6,15.5,87.5,7.61,9.55,79.7,0.45,1.79,25,0,0.09,0.16,-0.09,0.9,1.49,0.6,0,1.79,Matches
152,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-117,1996,1.1,44.5,54.5,81.7,567.3,150.9,30,32.7,91.7,10.9,12.7,85.7,0.91,4.55,20,0,0,0,0,0.91,3.64,0.91,0,6.36,Matches
153,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-064,1997,6.9,24.8,33.9,73.1,387.8,101.3,12.3,14.8,83.3,10.9,13.9,78.1,0.87,2.61,33.3,0.14,0.09,0.09,0.06,0.87,2.46,1.01,0.29,3.62,Matches
154,Matheus Cunha,br BRA,"MF,FW",Wolves,25-329,1999,25,27.3,38.4,71,434.5,149.8,15.5,18.3,84.7,7.72,10.2,75.4,2.88,6.56,43.9,0.16,0.27,0.19,-0.11,1.84,3.24,2,0.36,4.76,Matches
155,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-292,2000,27.7,34.4,47.3,72.8,586.8,229.1,17.3,20.3,85.4,12,16.3,73.5,4.08,7.73,52.8,0.36,0.26,0.21,0.1,1.99,5.2,2.24,0.54,7.36,Matches
156,Danilo,br BRA,"MF,FW",Nott'ham Forest,23-357,2001,2.3,32.2,40.4,79.6,533,198.3,15.2,18.3,83.3,12.6,15.2,82.9,2.61,3.04,85.7,0,0,0,0,0,4.35,0,0,4.35,Matches
157,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-227,1998,2.9,43.8,52.1,84.1,654.5,110,25.9,28.3,91.5,16.2,19.3,83.9,1.72,3.1,55.6,0.34,0.38,0.07,-0.03,1.03,4.14,1.03,0,4.83,Matches
158,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-297,1998,17.4,38.4,44.1,87.1,554.8,157.2,22,24,91.6,12.7,14.1,89.8,1.55,2.53,61.4,0,0.07,0.07,-0.07,0.69,3.68,0.46,0,3.45,Matches
159,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-095,1998,1.3,13.1,21.5,60.7,176.9,35.4,8.46,12.3,68.8,3.08,5.38,57.1,0.77,0.77,100,0,0,0,0,0.77,1.54,0,0,3.08,Matches
160,Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-017,2003,2,71,88.5,80.2,1241.5,304.5,38.5,42,91.7,23.5,30.5,77,7,10.5,66.7,0.5,0.45,0.2,0.05,2.5,6.5,2,0,12,Matches
161,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-088,2004,6.1,20.7,29,71.2,326.7,105.2,10.2,13.3,76.5,8.03,10.7,75.4,1.15,1.97,58.3,0.49,0.2,0.16,0.3,1.48,1.97,0.98,0,3.61,Matches
162,Julio Enciso,py PAR,"MF,FW",Brighton,21-088,2004,3.3,30,45.5,66,443.6,118.8,18.5,22.7,81.3,8.79,12.1,72.5,1.52,6.67,22.7,0,0.06,0.09,-0.06,1.52,3.94,1.21,0.3,4.24,Matches
163,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-296,1998,25.3,27.3,36.7,74.4,456.5,117.1,13.5,15.8,85.3,10.6,12.7,83.2,2.49,5.77,43.2,0.32,0.19,0.13,0.13,2.02,1.78,1.23,0.12,3.36,Matches
164,Phil Foden,eng ENG,"MF,FW",Manchester City,24-328,2000,18.7,39.7,47.2,84,618.3,130.7,23.7,26.1,90.6,12,13.4,89.2,3.32,5.56,59.6,0.11,0.25,0.27,-0.14,2.25,2.14,1.87,0.27,5.08,Matches
165,Carlos Forbs,pt POR,"MF,FW",Wolves,21-033,2004,2.6,21.5,33.5,64.4,284.2,87.7,13.8,18.5,75,6.92,9.62,72,0.38,1.92,20,0,0,0.04,0,0.38,0.77,1.15,0.38,3.08,Matches
166,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-294,2004,21.8,26.6,33.5,79.3,371.8,47.5,16.7,18.7,89.5,7.34,8.85,82.9,1.19,2.11,56.5,0.05,0.16,0.11,-0.11,1.33,0.87,0.96,0.14,2.29,Matches
167,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-143,1996,8.6,21.6,29.8,72.7,362.4,91.7,11,13.1,84.1,8.49,11.2,76,1.51,3.37,44.8,0.47,0.13,0.07,0.34,1.28,1.51,1.86,0.58,3.49,Matches
