Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,45717,CPA,Mis,Dis,Rec,PrgR,Matches
149,Marco Asensio,es ESP,"MF,FW",Aston Villa,29-090,1996,5.2,50.2,0.77,4.62,20.2,26.3,4.23,49.8,2.31,1.15,50,0.96,41.7,31.3,173.8,88.7,2.88,3.46,0.58,0.77,1.35,34.4,4.42,Matches
150,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-298,1998,16.4,43.8,1.4,7.68,19.8,17.3,2.5,43.8,3.54,0.79,22.4,1.89,53.4,27,168.5,82,2.8,2.07,0.61,2.2,1.4,30.2,4.88,Matches
151,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-016,1998,6.7,41.2,1.04,5.67,20.7,16.3,2.84,41.2,4.78,2.39,50,2.09,43.8,22.7,161,74.9,2.54,2.09,0.6,2.69,1.64,28.5,4.03,Matches
152,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-117,1996,1.1,74.5,0,15.5,31.8,28.2,2.73,74.5,1.82,0,0,1.82,100,48.2,168.2,108.2,2.73,4.55,0,3.64,2.73,58.2,5.45,Matches
153,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-064,1997,6.9,41.6,0.87,6.81,21,14.5,1.74,41.6,0.87,0.43,50,0.43,50,20,101,55.1,1.45,1.01,0,1.3,0.43,28.3,2.9,Matches
154,Matheus Cunha,br BRA,"MF,FW",Wolves,25-329,1999,25,53.5,0.88,6.6,24.6,24.1,4.36,53.4,4.92,2.2,44.7,2.16,43.9,30.5,229.4,113.4,3.8,3.16,1.32,2.8,1.8,35.6,5.64,Matches
155,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-292,2000,27.7,58.4,1.19,10.6,26.5,22.2,2.53,58.4,3.21,1.66,51.7,1.16,36,33.4,183.3,94.4,2.24,1.52,0.32,1.91,1.52,38.8,4.15,Matches
156,Danilo,br BRA,"MF,FW",Nott'ham Forest,23-357,2001,2.3,48.3,2.61,14.3,29.1,5.22,0,48.3,2.17,0.87,40,1.3,60,17.8,87.8,23.9,0.87,0,0,2.61,0,30,0.43,Matches
157,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,26-227,1998,2.9,62.1,1.38,9.66,32.4,20,2.07,62.1,1.38,0.69,50,0.69,50,32.1,163.4,76.2,1.72,0.34,0,0.34,1.03,46.9,3.79,Matches
158,Nicolás Domínguez,ar ARG,"MF,FW",Nott'ham Forest,26-297,1998,17.4,57,3.62,14.3,29.7,13.4,1.32,57,0.46,0.17,37.5,0.17,37.5,21.3,85.7,41.2,0.69,0.57,0.11,0.98,0.52,31.4,1.38,Matches
159,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-095,1998,1.3,34.6,0.77,3.08,17.7,13.8,6.15,34.6,0.77,0,0,0.77,100,17.7,82.3,38.5,1.54,0.77,1.54,3.08,0.77,20,5.38,Matches
160,Harvey Elliott,eng ENG,"MF,FW",Liverpool,22-017,2003,2,101,1,9.5,42.5,49.5,6.5,101,2.5,1,40,1.5,60,60,267,128,3.5,3.5,2.5,1,2,76.5,11.5,Matches
161,Julio Enciso,py PAR,"MF,FW",Ipswich Town,21-088,2004,6.1,44.1,0.49,5.74,22.8,17.2,1.97,44.1,5.9,3.28,55.6,2.3,38.9,22.1,146.4,83.1,1.97,2.3,0.66,2.3,3.77,29.7,4.59,Matches
162,Julio Enciso,py PAR,"MF,FW",Brighton,21-088,2004,3.3,61.2,0.61,5.15,21.8,35.2,6.06,61.2,6.36,3.03,47.6,2.42,38.1,34.5,205.5,117,3.33,3.03,1.21,2.12,2.73,42.7,5.15,Matches
163,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,26-296,1998,25.3,50,0.51,6.64,23.6,20.9,3.28,49.9,4.86,2.33,48,2.25,46.3,29.8,180.9,85,2.57,1.7,0.83,2.06,1.74,32.6,5.53,Matches
164,Phil Foden,eng ENG,"MF,FW",Manchester City,24-328,2000,18.7,57.4,0.7,4.33,20,33.6,4.22,57.4,2.09,0.7,33.3,1.12,53.8,36.1,185.7,89.5,2.51,1.6,0.8,1.87,1.6,44.9,6.36,Matches
165,Carlos Forbs,pt POR,"MF,FW",Wolves,21-033,2004,2.6,45,1.15,7.69,14.6,23.1,5,45,4.62,2.69,58.3,1.92,41.7,27.7,167.3,114.2,3.46,1.15,3.08,2.69,1.54,31.5,10.8,Matches
166,Alejandro Garnacho,ar ARG,"MF,FW",Manchester Utd,20-294,2004,21.8,47.4,0.6,5.41,15.1,27.7,6.97,47.4,3.76,1.1,29.3,2.34,62.2,34.3,262.1,134,5.96,3.03,2.89,2.61,2.11,36.4,11.9,Matches
167,Gonçalo Guedes,pt POR,"MF,FW",Wolves,28-143,1996,8.6,42.6,0.47,4.88,18.7,20.5,3.26,42.6,2.33,0.58,25,1.28,55,25.9,196.9,102.1,3.6,2.21,0.58,3.84,1.63,28.7,6.74,Matches
168,Luis Guilherme,br BRA,"MF,FW",West Ham,19-071,2006,1.5,56.7,2,12.7,20,24.7,2.67,56.7,6,3.33,55.6,1.33,22.2,28,216,90.7,2,2,0.67,2.67,2,36.7,8.67,Matches
169,Hwang Hee-chan,kr KOR,"MF,FW",Wolves,29-085,1996,7.2,36.1,1.25,5.69,13.6,17.1,3.19,36.1,1.81,0.28,15.4,1.53,84.6,20.8,128.8,59.2,2.08,0.69,0.97,1.81,1.39,23.9,5.56,Matches
170,Omari Hutchinson,eng ENG,"MF,FW",Ipswich Town,21-173,2003,24.7,43,0.49,6.8,18.2,18.7,3,43,4.62,1.82,39.5,2.19,47.4,26.1,195.6,92.6,2.87,1.42,1.21,2.75,2.23,30.3,5.3,Matches
171,Joelinton,br BRA,"MF,FW",Newcastle Utd,28-250,1996,26.6,51.1,2.52,9.62,25.2,16.8,3.12,51.1,1.73,0.56,32.6,1.05,60.9,27.4,135.3,67.1,1.5,0.98,0.34,1.47,1.99,35.1,4.14,Matches
172,Joshua King,eng ENG,"MF,FW",Fulham,18-108,2007,0.9,60,2.22,8.89,21.1,31.1,7.78,60,7.78,4.44,57.1,3.33,42.9,24.4,195.6,77.8,1.11,3.33,0,1.11,3.33,40,10,Matches
173,Justin Kluivert,nl NED,"MF,FW",Bournemouth,25-351,1999,22.5,41.6,1.02,4.04,14,24.5,5.07,41.4,3.6,1.47,40.7,1.69,46.9,24.6,158,89.2,3.02,2.04,1.51,2.04,1.07,27,6.31,Matches
174,Dejan Kulusevski,se SWE,"MF,FW",Tottenham,24-361,2000,24.1,49.1,0.87,5.56,16.3,28.2,6.06,49.1,4.44,1.45,32.7,2.66,59.8,32.1,242.9,128.3,4.77,2.74,1.54,2.99,2.9,34.9,8.34,Matches
