Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
220,Bruno Guimarães,br BRA,MF,Newcastle Utd,25,1997,36.3,88,53,45,32,11,40,77,51.9,37,52,14,38,35,123,20,0,Matches
450,Declan Rice,eng ENG,MF,Arsenal,24,1999,35.8,83,51,37,38,8,32,57,56.1,25,37,11,26,44,127,52,0,Matches
353,Tyrick Mitchell,eng ENG,"DF,MF",Crystal Palace,23,1999,35.6,105,60,75,21,9,43,60,71.7,17,63,10,53,26,131,104,0,Matches
200,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,23,2000,35.1,36,24,6,20,10,14,33,42.4,19,31,8,23,17,53,21,0,Matches
195,Conor Gallagher,eng ENG,MF,Chelsea,23,2000,34.8,85,52,37,31,17,33,77,42.9,44,50,11,39,43,128,34,0,Matches
183,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,28,1994,34.6,68,38,27,25,16,30,88,34.1,58,49,6,43,27,95,50,2,Matches
218,Pascal Groß,de GER,"MF,DF",Brighton,32,1991,34.6,70,46,33,21,16,31,72,43.1,41,41,8,33,22,92,32,3,Matches
580,Martin Ødegaard,no NOR,MF,Arsenal,24,1998,34.3,49,17,18,21,10,17,58,29.3,41,23,1,22,15,64,5,0,Matches
484,Nélson Semedo,pt POR,"DF,MF",Wolves,29,1993,34.3,79,48,52,19,8,38,64,59.4,26,44,8,36,36,115,85,1,Matches
252,Vitaly Janelt,de GER,"MF,DF",Brentford,25,1998,33.9,63,38,29,25,9,32,64,50.0,32,35,9,26,36,99,64,3,Matches
58,Sander Berge,no NOR,MF,Burnley,25,1998,33.4,76,46,35,36,5,34,58,58.6,24,49,20,29,23,99,60,2,Matches
198,James Garner,eng ENG,MF,Everton,22,2001,33.4,83,44,32,38,13,35,82,42.7,47,45,14,31,45,128,47,1,Matches
552,James Ward-Prowse,eng ENG,MF,West Ham,28,1994,33.3,45,29,14,23,8,18,44,40.9,26,31,9,22,38,83,49,0,Matches
342,John McGinn,sct SCO,"MF,FW",Aston Villa,28,1994,33.3,59,35,18,34,7,32,77,41.6,45,33,4,29,21,80,21,0,Matches
312,Douglas Luiz,br BRA,MF,Aston Villa,25,1998,33.3,58,38,21,27,10,25,53,47.2,28,32,8,24,23,81,18,2,Matches
300,Mario Lemina,ga GAB,MF,Wolves,29,1993,33.0,90,58,46,33,11,25,47,53.2,22,36,9,27,41,131,64,0,Matches
459,Rodri,es ESP,MF,Manchester City,27,1996,32.6,70,43,25,33,12,29,60,48.3,31,32,8,24,26,96,41,4,Matches
226,Gustavo Hamer,nl NED,MF,Sheffield Utd,26,1997,32.3,39,21,17,15,7,16,59,27.1,43,33,9,24,29,68,35,0,Matches
105,Ryan Christie,sct SCO,MF,Bournemouth,28,1995,32.3,86,44,34,35,17,39,92,42.4,53,52,11,41,52,138,53,1,Matches
344,Dwight McNeil,eng ENG,"MF,FW",Everton,23,1999,32.1,44,27,16,14,14,24,55,43.6,31,44,7,37,22,66,37,0,Matches
499,Tomáš Souček,cz CZE,MF,West Ham,28,1995,31.9,53,35,24,26,3,21,47,44.7,26,55,28,27,37,90,109,0,Matches
87,Moisés Caicedo,ec ECU,MF,Chelsea,21,2001,31.8,91,46,38,42,11,36,60,60.0,24,59,25,34,37,128,44,4,Matches
361,Carlton Morris,eng ENG,"FW,MF",Luton Town,27,1995,31.8,15,8,4,6,5,9,15,60.0,6,24,5,19,1,16,53,0,Matches
187,Phil Foden,eng ENG,"FW,MF",Manchester City,23,2000,31.7,31,20,11,10,10,13,31,41.9,18,30,0,30,13,44,18,1,Matches
113,Lewis Cook,eng ENG,MF,Bournemouth,26,1997,31.0,61,41,24,30,7,34,63,54.0,29,32,11,21,65,126,46,1,Matches
293,Dejan Kulusevski,se SWE,"FW,MF",Tottenham,23,2000,30.7,62,33,19,20,23,25,67,37.3,42,24,1,23,18,80,2,1,Matches
310,Sean Longstaff,eng ENG,MF,Newcastle Utd,25,1997,30.5,54,30,17,29,8,24,63,38.1,39,43,7,36,17,71,23,0,Matches
413,João Palhinha,pt POR,MF,Fulham,28,1995,30.0,152,75,80,60,12,103,152,67.8,49,57,9,48,46,198,58,0,Matches
500,Vinicius Souza,br BRA,MF,Sheffield Utd,24,1999,29.6,125,76,59,51,15,41,74,55.4,33,57,17,40,32,157,75,1,Matches
207,João Gomes,br BRA,MF,Wolves,22,2001,29.4,128,74,67,49,12,44,99,44.4,55,51,8,43,18,146,29,2,Matches
21,Julián Álvarez,ar ARG,"MF,FW",Manchester City,23,2000,29.4,24,13,5,8,11,8,32,25.0,24,30,0,30,2,26,14,1,Matches
230,Kai Havertz,de GER,"MF,FW",Arsenal,24,1999,29.3,35,15,7,21,7,14,39,35.9,25,26,1,25,20,55,22,0,Matches
153,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,30,1993,29.2,43,27,20,14,9,18,46,39.1,28,23,3,20,15,58,19,0,Matches
417,Lucas Paquetá,br BRA,"FW,MF",West Ham,25,1997,29.1,71,48,38,26,7,25,52,48.1,27,28,1,27,21,92,28,2,Matches
45,Ross Barkley,eng ENG,MF,Luton Town,29,1993,29.1,47,19,16,21,10,11,48,22.9,37,25,9,16,25,72,51,2,Matches
