Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
45,Ross Barkley,eng ENG,MF,Luton Town,29,1993,32,30,2618,29.1,5,4,9,5,0,0,6,0,4.1,4.1,3.7,7.9,48,163,39,0.17,0.14,0.31,0.17,0.31,0.14,0.13,0.27,0.14,0.27,Matches
58,Sander Berge,no NOR,MF,Burnley,25,1998,37,34,3005,33.4,1,2,3,1,0,0,10,1,1.9,1.9,2.4,4.3,64,164,29,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13,Matches
87,Moisés Caicedo,ec ECU,MF,Chelsea,21,2001,35,33,2866,31.8,1,3,4,1,0,0,11,0,0.4,0.4,2.6,3.0,27,173,27,0.03,0.09,0.13,0.03,0.13,0.01,0.08,0.09,0.01,0.09,Matches
105,Ryan Christie,sct SCO,MF,Bournemouth,28,1995,37,35,2907,32.3,0,5,5,0,0,0,6,0,2.3,2.3,5.4,7.7,60,167,78,0.0,0.15,0.15,0.0,0.15,0.07,0.17,0.24,0.07,0.24,Matches
113,Lewis Cook,eng ENG,MF,Bournemouth,26,1997,33,32,2786,31.0,0,3,3,0,0,0,5,1,0.4,0.4,4.3,4.6,22,142,15,0.0,0.1,0.1,0.0,0.1,0.01,0.14,0.15,0.01,0.15,Matches
135,Kevin De Bruyne,be BEL,MF,Manchester City,32,1991,18,15,1221,13.6,4,10,14,4,0,0,2,0,2.4,2.4,11.5,14.0,47,111,133,0.29,0.74,1.03,0.29,1.03,0.18,0.85,1.03,0.18,1.03,Matches
153,Abdoulaye Doucouré,ml MLI,"FW,MF",Everton,30,1993,32,32,2629,29.2,7,1,8,7,0,0,7,0,8.8,8.8,2.9,11.6,55,97,140,0.24,0.03,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4,Matches
183,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,28,1994,35,35,3118,34.6,10,8,18,6,4,5,9,0,10.0,6.1,11.8,17.8,86,297,182,0.29,0.23,0.52,0.17,0.4,0.29,0.34,0.63,0.18,0.51,Matches
184,Enzo Fernández,ar ARG,MF,Chelsea,22,2001,28,26,2209,24.5,3,2,5,2,1,2,7,0,6.2,4.6,3.4,8.0,52,210,54,0.12,0.08,0.2,0.08,0.16,0.25,0.14,0.39,0.19,0.33,Matches
187,Phil Foden,eng ENG,"FW,MF",Manchester City,23,2000,35,33,2857,31.7,19,8,27,19,0,0,2,0,10.3,10.3,8.4,18.7,93,168,269,0.6,0.25,0.85,0.6,0.85,0.33,0.26,0.59,0.33,0.59,Matches
195,Conor Gallagher,eng ENG,MF,Chelsea,23,2000,37,37,3128,34.8,5,7,12,5,0,0,9,1,4.2,4.2,5.0,9.2,62,172,122,0.14,0.2,0.35,0.14,0.35,0.12,0.15,0.27,0.12,0.27,Matches
198,James Garner,eng ENG,MF,Everton,22,2001,37,34,3004,33.4,1,2,3,1,0,0,7,0,2.7,2.7,4.6,7.3,36,100,76,0.03,0.06,0.09,0.03,0.09,0.08,0.14,0.22,0.08,0.22,Matches
